,speaker,topic,episode_id,episode_name,category,text
131,1,uncategorized,uncategorized,uncategorized,uncategorized," No, you're the puppet.
"
132,3,uncategorized,uncategorized,uncategorized,uncategorized," ... that the Russians have engaged in cyberattacks against the United States of America, that you encouraged espionage against our people, that you are willing to spout the Putin line, sign up for his wish list, break up NATO, do whatever he wants to do, and that you continue to get help from him, because he has a very clear favorite in this race.
"
133,3,uncategorized,uncategorized,uncategorized,uncategorized,"So I think that this is such an unprecedented situation. We've never had a foreign government trying to interfere in our election. We have 17 – 17 intelligence agencies, civilian and military, who have all concluded that these espionage attacks, these cyberattacks, come from the highest levels of the Kremlin and they are designed to influence our election. I find that deeply disturbing.
"
134,2,uncategorized,uncategorized,uncategorized,uncategorized," Secretary Clinton...
"
135,3,uncategorized,uncategorized,uncategorized,uncategorized," And I think it's time you take a stand...
"
136,1,uncategorized,uncategorized,uncategorized,uncategorized," She has no idea whether it's Russia, China, or anybody else.
"
137,3,uncategorized,uncategorized,uncategorized,uncategorized," I am not quoting myself.
"
138,1,uncategorized,uncategorized,uncategorized,uncategorized," She has no idea.
"
139,3,uncategorized,uncategorized,uncategorized,uncategorized," I am quoting 17...
"
140,1,uncategorized,uncategorized,uncategorized,uncategorized," Hillary, you have no idea.
"
141,3,uncategorized,uncategorized,uncategorized,uncategorized," ... 17 intelligence – do you doubt 17 military and civilian...
"
142,1,uncategorized,uncategorized,uncategorized,uncategorized," And our country has no idea.
"
143,3,uncategorized,uncategorized,uncategorized,uncategorized," ... agencies.
"
144,1,uncategorized,uncategorized,uncategorized,uncategorized," Yeah, I doubt it. I doubt it.
"
145,3,uncategorized,uncategorized,uncategorized,uncategorized," Well, he'd rather believe Vladimir Putin than the military and civilian intelligence professionals who are sworn to protect us. I find that just absolutely...
"
146,3,uncategorized,uncategorized,uncategorized,uncategorized,"(CROSSTALK)
"
147,1,uncategorized,uncategorized,uncategorized,uncategorized," She doesn't like Putin because Putin has outsmarted her at every step of the way.
"
148,2,uncategorized,uncategorized,uncategorized,uncategorized," Mr. Trump...
"
149,1,uncategorized,uncategorized,uncategorized,uncategorized," Excuse me. Putin has outsmarted her in Syria.
"
150,2,uncategorized,uncategorized,uncategorized,uncategorized," Mr. Trump...
"
151,2,uncategorized,uncategorized,uncategorized,uncategorized,"(CROSSTALK)
"
152,1,uncategorized,uncategorized,uncategorized,uncategorized," He's outsmarted her every step of the way.
"
153,2,uncategorized,uncategorized,uncategorized,uncategorized," I do get to ask some questions.
"
154,1,uncategorized,uncategorized,uncategorized,uncategorized," Yes, that's fine.
"
155,2,uncategorized,uncategorized,uncategorized,uncategorized," And I would like to ask you this direct question. The top national security officials of this country do believe that Russia has been behind these hacks. Even if you don't know for sure whether they are, do you condemn any interference by Russia in the American election?
"
156,1,uncategorized,uncategorized,uncategorized,uncategorized," By Russia or anybody else.
"
157,2,uncategorized,uncategorized,uncategorized,uncategorized," You condemn their interference?
"
158,1,uncategorized,uncategorized,uncategorized,uncategorized," Of course I condemn. Of course I – I don't know Putin. I have no idea.
"
159,2,uncategorized,uncategorized,uncategorized,uncategorized," I'm not asking – I'm asking do you condemn?
"
160,1,uncategorized,uncategorized,uncategorized,uncategorized," I never met Putin. This is not my best friend. But if the United States got along with Russia, wouldn't be so bad.
"
161,1,uncategorized,uncategorized,uncategorized,uncategorized,"Let me tell you, Putin has outsmarted her and Obama at every single step of the way. Whether it's Syria, you name it. Missiles. Take a look at the Òstart upÓ that they signed. The Russians have said, according to many, many reports, I can't believe they allowed us to do this. They create warheads, and we can't. The Russians can't believe it. She has been outsmarted by Putin.
"
162,1,uncategorized,uncategorized,uncategorized,uncategorized,"And all you have to do is look at the Middle East. They've taken over. We've spent $6 trillion. They've taken over the Middle East. She has been outsmarted and outplayed worse than anybody I've ever seen in any government whatsoever.
"
163,2,uncategorized,uncategorized,uncategorized,uncategorized," We're a long way away from immigration, but I'm going to let you finish this topic. You got about 45 seconds.
"
