index,speaker,speaker_name,topic,text
139,clinton,CLINTON,economy,"We had the worst financial crisis, the Great Recession, the worst since the 1930s."
140,clinton,CLINTON,"taxes, middle","That was in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm."
141,clinton,CLINTON,trump,"In fact, Donald was one of the people who rooted for the housing crisis."
142,clinton,CLINTON,trade,"He said, back in 2006, Gee, I hope it does collapse, because then I can go in and buy some and make some money."
143,clinton,CLINTON,economy,"Well, it did collapse."
144,trump,TRUMP,economy," That’s called business, by the way."
145,clinton,CLINTON,jobs," Nine million people, nine million people lost their jobs."
146,clinton,CLINTON,"economy, america",Five million people lost their homes.
147,clinton,CLINTON,economy,And $13 trillion in family wealth was wiped out.
148,clinton,CLINTON,misc,"Now, we have come back from that abyss."
149,clinton,CLINTON,misc,And it has not been easy.
150,clinton,CLINTON,economy,"So we’re now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place."
151,clinton,CLINTON,"economy, jobs","Independent experts have looked at what I’ve proposed and looked at what Donald’s proposed, and basically they’ve said this, that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy, were to go into effect, we would lose 3.5 million jobs and maybe have another recession."
152,clinton,CLINTON,"jobs, economy","They’ve looked at my plans and they’ve said, OK, if we can do this, and I intend to get it done, we will have 10 million more new jobs, because we will be making investments where we can grow the economy."
153,clinton,CLINTON,economy,Take clean energy.
154,clinton,CLINTON,economy,Some country is going to be the clean-energy superpower of the 21st century.
155,clinton,CLINTON,china,Donald thinks that climate change is a hoax perpetrated by the Chinese.
156,clinton,CLINTON,misc,I think it’s real.
157,clinton,CLINTON,misc, I think science is real.
158,clinton,CLINTON,misc," And I think it’s important that we grip this and deal with it, both at home and abroad."
159,clinton,CLINTON,misc,And here’s what we can do.
160,clinton,CLINTON,economy,We can deploy a half a billion more solar panels.
161,clinton,CLINTON,economy,We can have enough clean energy to power every home.
162,clinton,CLINTON,economy,We can build a new modern electric grid.
163,clinton,CLINTON,"jobs, economy",That’s a lot of jobs; that’s a lot of new economic activity.
164,clinton,CLINTON,economy,"So I’ve tried to be very specific about what we can and should do, and I am determined that we’re going to get the economy really moving again, building on the progress we’ve made over the last eight years, but never going back to what got us in trouble in the first place."
165,moderator,MODERATOR,trump, Mr. Trump?
166,trump,TRUMP,economy, She talks about solar panels.
167,trump,TRUMP,economy,"We invested in a solar company, our country."
168,trump,TRUMP,economy,That was a disaster.
169,trump,TRUMP,economy,They lost plenty of money on that one.
170,trump,TRUMP,jobs,"Now, look, I’m a great believer in all forms of energy, but we’re putting a lot of people out of work."
171,trump,TRUMP,economy,Our energy policies are a disaster.
172,trump,TRUMP,economy,"Our country is losing so much in terms of energy, in terms of paying off our debt."
173,trump,TRUMP,deficit,You can’t do what you’re looking to do with $20 trillion in debt.
174,trump,TRUMP,"obama, deficit","The Obama administration, from the time they’ve come in, is over 230 years worth of debt, and he’s topped it."
175,trump,TRUMP,"obama, deficit","He’s doubled it in a course of almost eight years, seven-and-a-half years, to be semi- exact."
176,trump,TRUMP,jobs,We have to do a much better job at keeping our jobs.
177,trump,TRUMP,economy,"And we have to do a much better job at giving companies incentives to build new companies or to expand, because they’re not doing it."
178,trump,TRUMP,jobs,"And all you have to do is look at Michigan and look at Ohio and look at all of these places where so many of their jobs and their companies are just leaving, they're gone."
179,trump,TRUMP,h-clinton,"And, Hillary, I'd just ask you this."
180,trump,TRUMP,h-clinton,You've been doing this for 30 years.
181,trump,TRUMP,misc,Why are you just thinking about these solutions right now?
182,trump,TRUMP,misc,"For 30 years, you've been doing it, and now you're just starting to think of solutions."
183,trump,TRUMP,misc, I will bring excuse me.
184,trump,TRUMP,jobs,I will bring back jobs.
185,trump,TRUMP,jobs,You can't bring back jobs.
186,clinton,CLINTON,misc," Well, actually, I have thought about this quite a bit."
187,trump,TRUMP,misc,"Yeah, for 30 years."
188,clinton,CLINTON,misc," And I have well, not quite that long."
189,clinton,CLINTON,clinton,I think my husband did a pretty good job in the 1990s.
190,clinton,CLINTON,economy,I think a lot about what worked and how we can make it work again...
191,trump,TRUMP,"economy, clinton"," Well, he approved NAFTA..."
192,trump,TRUMP,"jobs, deficit","(CROSSTALK)  CLINTON: ... million new jobs, a balanced budget..."
193,trump,TRUMP,trade," He approved NAFTA, which is the single worst trade deal ever approved in this country."
194,clinton,CLINTON,economy, Incomes went up for everybody.
195,clinton,CLINTON,jobs,"Manufacturing jobs went up also in the 1990s, if we're actually going to look at the facts."
196,clinton,CLINTON,trade,"When I was in the Senate, I had a number of trade deals that came before me, and I held them all to the same test."
197,clinton,CLINTON,jobs,Will they create jobs in America?
198,clinton,CLINTON,economy,Will they raise incomes in America?
199,clinton,CLINTON,economy,And are they good for our national security?
200,clinton,CLINTON,misc,Some of them I voted for.
201,clinton,CLINTON,trade,"The biggest one, a multinational one known as CAFTA, I voted against."
202,clinton,CLINTON,trade,And because I hold the same standards as I look at all of these trade deals.
203,clinton,CLINTON,"trade, economy",But let's not assume that trade is the only challenge we have in the economy.
204,clinton,CLINTON,trade,"I think it is a part of it, and I've said what I'm going to do."
205,clinton,CLINTON,misc,I'm going to have a special prosecutor.
206,clinton,CLINTON,trade,"We're going to enforce the trade deals we have, and we're going to hold people accountable."
207,clinton,CLINTON,trade,"When I was secretary of state, we actually increased American exports globally 30 percent."
208,clinton,CLINTON,"china, trade",We increased them to China 50 percent.
209,clinton,CLINTON,"jobs, trade",So I know how to really work to get new jobs and to get exports that helped to create more new jobs.
210,moderator,MODERATOR,misc, Very quickly...
211,trump,TRUMP,misc,But you haven't done it in 30 years or 26 years or any number you want to...
212,clinton,CLINTON,misc," Well, I've been a senator, Donald..."
213,trump,TRUMP,misc, You haven't done it.
214,trump,TRUMP,misc,You haven't done it.
215,clinton,CLINTON,misc, And I have been a secretary of state...
216,trump,TRUMP,misc, Excuse me.
217,clinton,CLINTON,misc, And I have done a lot...
218,trump,TRUMP,trade," Your husband signed NAFTA, which was one of the worst things that ever happened to the manufacturing industry."
219,clinton,CLINTON,misc," Well, that's your opinion."
220,clinton,CLINTON,misc,That is your opinion.
221,trump,TRUMP,economy,"You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent."
222,trump,TRUMP,trade,"NAFTA is the worst trade deal maybe ever signed anywhere, but certainly ever signed in this country."
223,trump,TRUMP,trade,And now you want to approve Trans-Pacific Partnership.
224,trump,TRUMP,misc,You were totally in favor of it.
225,trump,TRUMP,misc,"Then you heard what I was saying, how bad it is, and you said, I can't win that debate."
226,trump,TRUMP,trade,"But you know that if you did win, you would approve that, and that will be almost as bad as NAFTA."
227,trump,TRUMP,trade,Nothing will ever top NAFTA.
228,clinton,CLINTON,misc," Well, that is just not accurate."
229,clinton,CLINTON,trade,I was against it once it was finally negotiated and the terms were laid out.
230,clinton,CLINTON,misc,I wrote about that in...
231,trump,TRUMP,trade, You called it the gold standard.
232,trump,TRUMP,trade,(CROSSTALK)  TRUMP: You called it the gold standard of trade deals.
233,trump,TRUMP,trade,You said it's the finest deal you've ever seen.
