index,speaker_name,speaker,topic,text
692,MODERATOR,moderator,"question, syria","But there are much worse images coming out of Aleppo every day now, where in the past few weeks alone, 400 people have been killed, at least 100 of them children."
693,MODERATOR,moderator,"question, syria","Just days ago, the State Department called for a war crimes investigation of the Syrian regime of Bashar al-Assad and its ally, Russia, for their bombardment of Aleppo."
694,MODERATOR,moderator,"question, syria",So this next question comes through social media through Facebook.
695,MODERATOR,moderator,"question, syria","Diane from Pennsylvania asks, if you were president, what would you do about Syria and the humanitarian crisis in Aleppo?"
696,MODERATOR,moderator,"question, syria",Isn't it a lot like the Holocaust when the U.S. waited too long before we helped?
697,MODERATOR,moderator,question,"Secretary Clinton, we will begin with your two minutes."
698,CLINTON,clinton,syria," Well, the situation in Syria is catastrophic."
699,CLINTON,clinton,"syria, russia","And every day that goes by, we see the results of the regime by Assad in partnership with the Iranians on the ground, the Russians in the air, bombarding places, in particular Aleppo, where there are hundreds of thousands of people, probably about 250,000 still left."
700,CLINTON,clinton,"syria, russia",And there is a determined effort by the Russian air force to destroy Aleppo in order to eliminate the last of the Syrian rebels who are really holding out against the Assad regime.
701,CLINTON,clinton,"syria, russia, isis",Russia hasn't paid any attention to ISIS.
702,CLINTON,clinton,"syria, russia, isis",They're interested in keeping Assad in power.
703,CLINTON,clinton,"syria, russia, isis","So I, when I was secretary of state, advocated and I advocate today a no-fly zone and safe zones."
704,CLINTON,clinton,"syria, russia, isis","We need some leverage with the Russians, because they are not going to come to the negotiating table for a diplomatic resolution, unless there is some leverage over them."
705,CLINTON,clinton,"syria, russia, isis",And we have to work more closely with our partners and allies on the ground.
706,CLINTON,clinton,"syria, russia, isis",But I want to emphasize that what is at stake here is the ambitions and the aggressiveness of Russia.
707,CLINTON,clinton,"syria, russia, isis","Russia has decided that it's all in, in Syria."
708,CLINTON,clinton,"syria, russia, isis","And they've also decided who they want to see become president of the United States, too, and it's not me."
709,CLINTON,clinton,russia,I've stood up to Russia.
710,CLINTON,clinton,"russia, putin","I've taken on Putin and others, and I would do that as president."
711,CLINTON,clinton,russia,"I think wherever we can cooperate with Russia, that's fine."
712,CLINTON,clinton,russia,And I did as secretary of state.
713,CLINTON,clinton,russia,That's how we got a treaty reducing nuclear weapons.
714,CLINTON,clinton,russia,It's how we got the sanctions on Iran that put a lid on the Iranian nuclear program without firing a single shot.
715,CLINTON,clinton,russia,So I would go to the negotiating table with more leverage than we have now.
716,CLINTON,clinton,russia,"But I do support the effort to investigate for crimes, war crimes committed by the Syrians and the Russians and try to hold them accountable."
717,MODERATOR,moderator,misc," Thank you, Secretary Clinton."
718,TRUMP,trump,h-clinton," First of all, she was there as secretary of state with the so-called line in the sand, which..."
719,CLINTON,clinton,misc,"I hate to interrupt you, but at some point..."
720,TRUMP,trump,"h-clinton, obama",But you were in contact ' excuse me.
721,CLINTON,clinton,trump," At some point, we need to do some fact-checking here."
722,TRUMP,trump,"h-clinton, obama"," You were in total contact with the White House, and perhaps, sadly, Obama probably still listened to you."
723,TRUMP,trump,"h-clinton, obama",I don't think he would be listening to you very much anymore.
724,TRUMP,trump,obama,Obama draws the line in the sand.
725,TRUMP,trump,obama,It was laughed at all over the world what happened.
726,TRUMP,trump,"h-clinton, russia","Now, with that being said, she talks tough against Russia."
